Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tasa;Periodo;Total
Total Nacional;17 Rioja, La;Tasa de homicidios;2010;0,63
Total Nacional;18 Ceuta;Tasa de homicidios;2023;6,00
Total Nacional;18 Ceuta;Tasa de homicidios;2022;4,82
Total Nacional;18 Ceuta;Tasa de homicidios;2021;2,41
Total Nacional;18 Ceuta;Tasa de homicidios;2020;2,37
Total Nacional;18 Ceuta;Tasa de homicidios;2019;4,72
Total Nacional;18 Ceuta;Tasa de homicidios;2018;1,17
Total Nacional;18 Ceuta;Tasa de homicidios;2017;1,18
Total Nacional;18 Ceuta;Tasa de homicidios;2016;4,72
Total Nacional;18 Ceuta;Tasa de homicidios;2015;1,18
Total Nacional;18 Ceuta;Tasa de homicidios;2014;7,10
Total Nacional;18 Ceuta;Tasa de homicidios;2013;2,37
Total Nacional;18 Ceuta;Tasa de homicidios;2012;0,00
Total Nacional;18 Ceuta;Tasa de homicidios;2011;4,82
Total Nacional;18 Ceuta;Tasa de homicidios;2010;1,24
Total Nacional;19 Melilla;Tasa de homicidios;2023;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2022;2,34
Total Nacional;19 Melilla;Tasa de homicidios;2021;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2020;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2019;1,16
Total Nacional;19 Melilla;Tasa de homicidios;2018;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2017;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2016;1,17
Total Nacional;19 Melilla;Tasa de homicidios;2015;1,17
Total Nacional;19 Melilla;Tasa de homicidios;2014;3,55
Total Nacional;19 Melilla;Tasa de homicidios;2013;1,19
Total Nacional;19 Melilla;Tasa de homicidios;2012;4,84
Total Nacional;19 Melilla;Tasa de homicidios;2011;0,00
Total Nacional;19 Melilla;Tasa de homicidios;2010;0,00
